Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Comments,Intent
dwalker@example.net,6644807667,452,26-35,Married with Kids,917477,want to buy soon,1
jamiehester@example.org,856-947-1175,460,18-25,Single,884814,urgent need to buy,1
freemandavid@example.org,773.798.8075,587,26-35,Single,990609,just browsing,0
sjones@example.org,(421)747-5518,537,36-50,Married with Kids,317538,job relocation,1
ricardopowell@example.net,947-884-0084x60590,596,51+,Married,936849,urgent need to buy,1
william82@example.net,563-666-3786x999,304,36-50,Single,448943,need home loan,0
richardsonvictoria@example.com,3302500077,639,18-25,Single,235603,just browsing,0
jgrimes@example.org,798-712-4115x600,760,18-25,Married with Kids,362256,not interested,0
rmartinez@example.net,(307)919-5922,703,36-50,Single,247087,urgent need to buy,1
michael83@example.net,563-469-2456x792,439,51+,Single,577479,job relocation,1
fletcherjames@example.org,+1-304-813-0606x12918,360,51+,Married,672183,job relocation,1
chenry@example.net,618-373-5976x7847,529,51+,Married,991563,urgent need to buy,1
icampbell@example.com,614.726.2316x427,562,51+,Married with Kids,949412,need home loan,0
ashleyreyes@example.com,(371)827-1553x16572,553,51+,Married with Kids,618424,job relocation,1
ricewilliam@example.com,+1-967-967-5293,669,18-25,Married with Kids,782871,not interested,0
charles24@example.net,+1-510-419-5929x491,531,36-50,Single,420725,need home loan,0
crodriguez@example.com,001-896-813-6258x5142,465,36-50,Married,771935,job relocation,1
davisstephanie@example.net,+1-649-869-0648,628,26-35,Single,421064,not interested,0
swatson@example.net,001-906-553-7867,336,36-50,Single,599955,need home loan,0
nicolepittman@example.com,001-833-731-4842x404,713,26-35,Married with Kids,270081,job relocation,1
vincentvanessa@example.com,788.541.1258x7462,704,36-50,Married with Kids,268464,urgent need to buy,1
stantonemily@example.org,001-692-490-1838,433,36-50,Married,688358,need home loan,0
vpope@example.com,001-878-599-9602x045,334,18-25,Single,688492,want to buy soon,1
hmorris@example.com,517.353.3182,393,51+,Single,511236,not interested,0
kingkristopher@example.net,+1-661-561-8025,555,26-35,Single,799466,just browsing,0
gfrost@example.com,8708487653,428,18-25,Married with Kids,917671,just browsing,0
lmiller@example.net,425-972-2814,764,51+,Married,155760,urgent need to buy,1
williamtaylor@example.com,691.961.5069x532,637,18-25,Single,356303,job relocation,1
jesse00@example.com,209-469-0363x94171,654,18-25,Married,922985,need home loan,0
paulawallace@example.com,(294)605-3583,322,51+,Single,207663,want to buy soon,1
mary61@example.org,+1-966-445-8546x5828,430,26-35,Married,494012,not interested,0
agonzalez@example.org,001-594-724-6544x8766,642,18-25,Married,523804,just browsing,0
wgoodwin@example.net,853-201-3945,450,51+,Married,903658,need home loan,0
jonathan18@example.net,(968)570-4015,778,26-35,Single,886933,not interested,0
seanrussell@example.net,628.937.5071,836,26-35,Married with Kids,390320,job relocation,1
kaylajohnson@example.com,(203)258-8187,790,26-35,Married,541651,not interested,0
emilyhernandez@example.net,(726)276-5904,383,51+,Married with Kids,432725,job relocation,1
masonbrandon@example.net,480.731.5088x872,815,36-50,Single,499797,want to buy soon,1
scott05@example.net,001-225-563-9420x96865,735,26-35,Married,513906,not interested,0
margaret55@example.com,6886976639,331,51+,Single,154233,job relocation,1
oguzman@example.org,(912)731-3527x1087,623,51+,Married,353857,not interested,0
qglover@example.com,(301)491-2211,519,18-25,Single,713772,urgent need to buy,1
juanramirez@example.org,644-788-8144x414,591,51+,Single,117906,not interested,0
webermark@example.com,243.933.9186,830,26-35,Married,427775,not interested,0
raymondmartin@example.com,487.609.7084x6399,674,36-50,Single,964541,job relocation,1
fisherjeffrey@example.net,876-942-8244x0503,840,18-25,Single,285998,urgent need to buy,1
edwinwilliams@example.net,442-935-7471x778,374,51+,Single,745381,urgent need to buy,1
james29@example.com,7377229937,696,18-25,Married with Kids,108753,job relocation,1
deckermichele@example.net,811-660-3766x11305,735,26-35,Single,894936,want to buy soon,1
qsingleton@example.org,299-214-4333,845,51+,Married,768545,just browsing,0
fkey@example.com,+1-302-706-6415x274,836,36-50,Married with Kids,372124,need home loan,0
smithsteven@example.net,6367645043,365,18-25,Single,555564,urgent need to buy,1
kimberlysanchez@example.org,001-759-605-5992x3867,722,36-50,Married with Kids,271197,not interested,0
laurensmith@example.com,(634)269-8833x8656,420,18-25,Single,297294,just browsing,0
daniel30@example.com,001-588-659-4548,648,51+,Single,433012,want to buy soon,1
calhounrobert@example.net,001-914-398-1695x7778,642,51+,Single,309298,urgent need to buy,1
krodriguez@example.net,661.813.1012,507,36-50,Married with Kids,386900,need home loan,0
ugarcia@example.net,(375)331-5187x214,579,36-50,Married with Kids,704370,need home loan,0
lhernandez@example.com,(717)380-0074x1522,659,36-50,Single,200112,not interested,0
micheal25@example.org,(732)677-1915x0683,345,18-25,Married with Kids,873182,just browsing,0
rallen@example.net,711.759.3679,753,36-50,Married,753517,want to buy soon,1
james69@example.net,758-221-8055x5759,345,26-35,Married,803930,job relocation,1
upark@example.net,406-857-1434x438,629,51+,Single,799291,just browsing,0
mcdonaldrhonda@example.net,8903955240,804,36-50,Married,547034,urgent need to buy,1
sethnorris@example.com,(747)600-0936x82027,348,51+,Single,804716,not interested,0
mcarey@example.com,(617)739-0677,337,18-25,Married,757985,urgent need to buy,1
kathleen26@example.net,(393)206-5625,684,18-25,Single,461990,want to buy soon,1
natalietaylor@example.org,(402)749-4491x1613,428,36-50,Married,968420,want to buy soon,1
triciasanders@example.com,3885035902,623,51+,Single,156858,job relocation,1
huntdean@example.org,(512)794-6673,378,26-35,Married with Kids,988009,job relocation,1
bensondavid@example.com,001-973-533-9384x31359,436,36-50,Married,301804,urgent need to buy,1
orrandrew@example.net,+1-636-262-0421x52249,326,51+,Married,106288,just browsing,0
brooksjade@example.net,001-478-276-4773,582,18-25,Married with Kids,122741,want to buy soon,1
benjaminhenry@example.net,+1-475-805-5913x698,379,18-25,Married,588876,not interested,0
david98@example.org,001-581-466-2317,342,51+,Single,565038,job relocation,1
jessicagordon@example.org,247-511-5364x7937,836,51+,Married with Kids,217290,need home loan,0
gperez@example.com,651.310.9935x1606,531,18-25,Single,499595,urgent need to buy,1
hayneskevin@example.org,690.585.8306,522,26-35,Single,916881,want to buy soon,1
youngjohn@example.net,9593178735,832,36-50,Married with Kids,286780,job relocation,1
johnathanmarquez@example.com,+1-705-201-4085,553,36-50,Married with Kids,713335,urgent need to buy,1
kimberlymyers@example.net,(362)604-8239x1961,358,36-50,Married,132964,urgent need to buy,1
dbrown@example.org,832-300-9606x62080,483,26-35,Single,921953,just browsing,0
pgilmore@example.com,+1-267-936-4780x2666,347,18-25,Married,470775,just browsing,0
joseph07@example.net,669.422.4358x1561,701,26-35,Married,918149,just browsing,0
petersmatthew@example.com,+1-347-528-2017x85319,701,51+,Single,614674,need home loan,0
marissamartinez@example.org,675-989-1977,505,18-25,Married with Kids,309100,not interested,0
psimmons@example.net,526-244-5698,833,26-35,Married,754097,need home loan,0
julieschneider@example.com,755.353.2815x8452,485,26-35,Married,117067,not interested,0
jennifer47@example.org,001-827-763-6878x08016,505,18-25,Single,663951,want to buy soon,1
katie08@example.org,001-945-535-5050x144,660,51+,Married with Kids,557903,not interested,0
randy24@example.net,(622)635-6479x1180,445,26-35,Single,108161,job relocation,1
jon26@example.net,231-641-8779,821,36-50,Married with Kids,533636,job relocation,1
thomasdawson@example.org,+1-502-246-3871,581,18-25,Married,186575,need home loan,0
mitchelltamara@example.com,915-481-7079x0690,376,26-35,Married,409479,just browsing,0
andreamccall@example.net,+1-433-267-1440x4699,595,18-25,Married,498445,need home loan,0
gking@example.org,612.216.3828,347,36-50,Married,517530,job relocation,1
burgessethan@example.com,(922)854-2657x35646,608,26-35,Married,941161,need home loan,0
winterstravis@example.com,+1-287-340-5730x79566,342,26-35,Married with Kids,832076,just browsing,0
vmurray@example.com,+1-885-713-9588x1851,807,26-35,Single,616519,want to buy soon,1
cantuwilliam@example.com,001-805-963-3461x266,736,36-50,Married with Kids,688272,need home loan,0
cassidylewis@example.org,(399)429-2874,551,26-35,Married,685840,want to buy soon,1
marcus71@example.net,5463580814,452,26-35,Single,268880,not interested,0
ycurtis@example.org,001-301-451-7798x9925,800,18-25,Single,828616,need home loan,0
karawatson@example.org,(531)611-5914,466,51+,Married with Kids,809098,not interested,0
xsullivan@example.org,(365)715-6662,618,26-35,Married with Kids,845302,job relocation,1
michelleadams@example.com,(205)270-6712x336,442,51+,Single,278015,need home loan,0
ucook@example.org,4505809671,712,36-50,Single,519679,just browsing,0
taylorkathleen@example.org,+1-961-832-0097x9366,409,18-25,Married with Kids,424506,need home loan,0
gwinters@example.net,+1-681-354-2305x29018,426,26-35,Single,101368,want to buy soon,1
samuel57@example.org,924.653.3305x1895,676,51+,Married,151428,just browsing,0
harveyjeffrey@example.org,+1-334-228-9622x91476,578,26-35,Married,746766,urgent need to buy,1
robertcontreras@example.org,+1-401-872-4323x911,819,26-35,Married with Kids,229916,not interested,0
jjohnson@example.net,001-744-923-9835,655,26-35,Married,195745,just browsing,0
ttaylor@example.net,(247)451-1524,415,51+,Married,494147,not interested,0
xmorris@example.com,(959)933-5050x83448,461,18-25,Married,411165,job relocation,1
mike49@example.net,311.262.0753x511,837,26-35,Single,235464,want to buy soon,1
todd60@example.com,001-836-618-3763,575,36-50,Single,497377,not interested,0
michellewells@example.net,495-809-3154,504,36-50,Single,815837,need home loan,0
robinsonbrian@example.net,899.500.4000x107,762,18-25,Married,935566,want to buy soon,1
velasquezandrew@example.net,333-801-6303x8497,420,18-25,Married with Kids,817764,urgent need to buy,1
william42@example.org,+1-708-762-8530,433,26-35,Single,872537,urgent need to buy,1
berrydalton@example.net,001-807-877-4938,621,26-35,Married with Kids,515312,want to buy soon,1
hbrown@example.org,001-431-650-0070x22237,538,51+,Married,150160,not interested,0
chandlerchristina@example.org,001-705-584-3431,397,18-25,Married with Kids,570014,not interested,0
aaronalexander@example.com,001-253-772-2044x0670,705,26-35,Single,310750,need home loan,0
yoderallison@example.com,439.515.1809x02577,419,18-25,Married,452067,urgent need to buy,1
rachel88@example.com,409-804-9732,305,36-50,Single,990680,want to buy soon,1
david61@example.org,757.751.4228,784,26-35,Married,561479,want to buy soon,1
tlewis@example.org,(963)873-2127x4339,318,36-50,Married,339081,just browsing,0
nsalazar@example.org,+1-757-968-9299,397,51+,Single,879469,need home loan,0
nathanjames@example.org,001-437-862-5142x44973,453,51+,Married with Kids,551610,need home loan,0
wlee@example.com,678.608.6108x4453,393,36-50,Married with Kids,722699,want to buy soon,1
rebecca32@example.net,411-839-9421x590,547,36-50,Married,251605,not interested,0
kanderson@example.org,279-730-4450x9084,802,36-50,Single,803275,just browsing,0
hollyspencer@example.com,(223)897-2937x7343,661,26-35,Married with Kids,676666,just browsing,0
sean64@example.net,9772908961,647,51+,Married with Kids,673190,not interested,0
hherring@example.org,(482)328-5180x303,610,26-35,Married,951831,urgent need to buy,1
jacksoncarla@example.com,001-951-791-1195,551,36-50,Married,637202,urgent need to buy,1
kempabigail@example.org,(308)286-9266,705,18-25,Married,144781,just browsing,0
toddblack@example.net,534-996-1283x5311,335,18-25,Married,878031,need home loan,0
arnoldchristy@example.net,823-406-5343x335,390,36-50,Single,457994,just browsing,0
ashley21@example.org,(806)287-9983x6903,334,36-50,Married with Kids,411475,want to buy soon,1
stevensonkayla@example.net,769-621-0873,694,18-25,Single,612343,want to buy soon,1
johncoleman@example.net,355-276-6901x25940,502,51+,Single,695179,need home loan,0
bellandrea@example.net,(628)261-9235x44268,847,18-25,Married,876935,just browsing,0
marygross@example.net,+1-622-613-9969x91407,620,18-25,Single,886123,urgent need to buy,1
thampton@example.org,691.530.2841x2969,620,36-50,Single,174051,need home loan,0
sandranorman@example.net,+1-375-828-2167x85158,651,51+,Single,734167,job relocation,1
mcdonaldsierra@example.com,678.410.0832x692,335,26-35,Single,717512,just browsing,0
richard99@example.net,001-322-412-4758,710,26-35,Single,815056,urgent need to buy,1
jromero@example.com,001-475-406-7930x27115,686,26-35,Married,716623,not interested,0
kristenmiller@example.com,(204)533-7391,741,26-35,Married with Kids,350318,job relocation,1
shelley71@example.net,001-554-835-3771x6422,368,36-50,Single,309493,need home loan,0
ostewart@example.com,3227701732,635,26-35,Married,308894,job relocation,1
cynthiameyers@example.org,815-499-1173,566,36-50,Married with Kids,579868,job relocation,1
johnjones@example.org,(364)352-2260,395,26-35,Married,675699,want to buy soon,1
melissahill@example.net,9893033681,358,18-25,Married,246146,want to buy soon,1
allison00@example.com,303.709.4940,647,36-50,Married,682435,urgent need to buy,1
cynthia32@example.org,+1-631-379-9837x78723,539,51+,Married with Kids,386331,job relocation,1
oliverjesus@example.org,2054639872,335,18-25,Married with Kids,416938,job relocation,1
anthonyfoster@example.com,001-340-334-7149,344,26-35,Single,890135,job relocation,1
smithcharles@example.net,(312)480-3683x301,369,26-35,Married,671515,just browsing,0
jlevine@example.com,001-768-217-5500x4284,734,36-50,Married,246421,urgent need to buy,1
maryjohnson@example.net,232-258-5607,716,26-35,Single,811882,need home loan,0
amber23@example.com,(719)715-6351,521,36-50,Married with Kids,492980,want to buy soon,1
gobrien@example.net,+1-244-322-9166x97708,769,18-25,Married with Kids,691887,need home loan,0
tsmith@example.com,528.300.5060x85706,515,26-35,Single,658223,need home loan,0
troytodd@example.com,(460)868-9715x02617,613,26-35,Single,651926,urgent need to buy,1
tchristensen@example.com,+1-532-247-5772x34372,340,26-35,Married with Kids,521525,want to buy soon,1
williamcolon@example.net,001-732-914-8767x9133,531,51+,Single,107224,job relocation,1
natalie11@example.org,685-849-3793,308,51+,Single,306991,urgent need to buy,1
kjohnson@example.net,634.645.8647,598,26-35,Single,530062,not interested,0
nhodges@example.org,714.346.5905,624,26-35,Married,417802,need home loan,0
john53@example.com,+1-945-785-4946x921,774,18-25,Single,646111,need home loan,0
zhall@example.org,596-213-3148x8441,738,36-50,Married with Kids,180276,urgent need to buy,1
richardsonmorgan@example.net,001-708-347-7984x9160,459,18-25,Single,425585,need home loan,0
megan82@example.org,743-952-8677x27037,568,18-25,Married with Kids,160116,not interested,0
romanfrederick@example.net,428.305.0359,368,26-35,Married with Kids,451917,just browsing,0
shelly85@example.net,(998)428-3591x803,521,36-50,Single,708709,just browsing,0
thompsonmatthew@example.org,+1-567-416-9788x9343,832,26-35,Married with Kids,758809,urgent need to buy,1
brennandenise@example.net,252-494-9106,553,36-50,Single,754731,want to buy soon,1
teresaadams@example.com,+1-302-208-5897,784,26-35,Married with Kids,551558,job relocation,1
james62@example.com,001-392-298-7800x67073,533,51+,Married with Kids,775058,want to buy soon,1
valexander@example.org,(646)870-1873,502,18-25,Married with Kids,508018,need home loan,0
xcook@example.net,292.903.9119,408,51+,Married with Kids,932721,need home loan,0
traciewilson@example.org,(535)876-6461,768,51+,Married with Kids,852807,urgent need to buy,1
keyjennifer@example.com,+1-425-625-0695x083,770,18-25,Married,426321,need home loan,0
xreed@example.com,+1-460-483-1718x73684,482,26-35,Married,574277,urgent need to buy,1
izimmerman@example.org,938-336-0778x74125,740,51+,Married,418458,not interested,0
hayesjeffrey@example.net,(727)676-4651x50302,657,36-50,Married,547061,job relocation,1
zachary69@example.net,001-376-749-7582x633,312,51+,Single,876714,just browsing,0
karenbarber@example.org,(926)272-8549x3032,526,26-35,Single,584562,want to buy soon,1
vburke@example.net,9088185946,525,51+,Married,318425,not interested,0
jeffrey66@example.com,(534)278-5121x5784,542,26-35,Married,912179,job relocation,1
andrea21@example.net,(856)284-3249x8424,798,18-25,Married,775401,want to buy soon,1
brandon73@example.org,331.205.9443x63202,468,51+,Married,395994,just browsing,0
reginabarrera@example.org,271-205-0598x50708,408,26-35,Married with Kids,885973,want to buy soon,1
roberta77@example.net,652.798.9230x470,767,36-50,Married with Kids,902791,not interested,0
mmadden@example.net,(679)334-0194x520,721,26-35,Married,162883,not interested,0
rhondaherman@example.org,001-272-956-5338x08693,353,51+,Married,322481,job relocation,1
hamiltonchristopher@example.com,230.810.4991x614,685,26-35,Single,526207,urgent need to buy,1
michaelporter@example.net,001-313-569-4780x531,308,18-25,Married with Kids,224478,need home loan,0
forddenise@example.net,+1-666-265-9574x039,611,51+,Single,582130,want to buy soon,1
katie01@example.com,001-698-382-1271x8141,508,18-25,Married with Kids,268610,need home loan,0
jessica38@example.net,(285)769-2425x1152,425,26-35,Married with Kids,946307,just browsing,0
raynichole@example.net,920-660-4322x78777,366,51+,Married with Kids,415868,need home loan,0
stonedaniel@example.org,3696015412,805,26-35,Single,232235,not interested,0
christinaprice@example.com,(366)854-5371,470,18-25,Single,913390,just browsing,0
jgaines@example.com,212.716.8381x75599,683,26-35,Married,483312,just browsing,0
xsmith@example.com,001-365-353-9549x75022,542,18-25,Married,107487,urgent need to buy,1
veronica15@example.com,001-889-491-3700x54414,709,18-25,Single,757602,want to buy soon,1
jasonrandolph@example.com,001-260-412-3604,338,26-35,Married with Kids,693764,need home loan,0
tiffany96@example.org,571.704.7500,705,26-35,Married,276342,just browsing,0
amyhill@example.net,568-528-0864x70024,385,36-50,Single,187305,not interested,0
matthewroberts@example.net,+1-715-248-1524,839,51+,Single,328318,urgent need to buy,1
kenneth26@example.net,001-930-660-1528x1173,439,51+,Married,699957,want to buy soon,1
upark@example.org,(257)605-2023x528,413,51+,Single,330633,need home loan,0
reyeslaurie@example.org,7034262253,510,18-25,Married,688844,just browsing,0
tracymcdonald@example.net,359-728-4246,383,36-50,Married with Kids,520289,need home loan,0
snyderandrea@example.com,+1-835-514-2188x237,689,18-25,Single,997936,want to buy soon,1
qgarcia@example.com,+1-480-889-3307x1232,755,18-25,Married,142429,job relocation,1
keithferrell@example.com,001-435-569-2948x48368,429,26-35,Married with Kids,109856,urgent need to buy,1
christinahernandez@example.org,001-434-859-9740x019,804,18-25,Married,590336,need home loan,0
dmartin@example.net,(775)923-0944,602,26-35,Married with Kids,798183,just browsing,0
katrina40@example.org,(845)853-7702,585,51+,Married,573638,want to buy soon,1
zdavenport@example.org,001-997-958-9141x721,654,51+,Married with Kids,272176,need home loan,0
dana61@example.com,256.559.5049x6352,362,51+,Single,193270,urgent need to buy,1
sarahbaker@example.org,3812824925,610,36-50,Single,979302,urgent need to buy,1
wnorton@example.net,001-491-890-7443x344,678,26-35,Married with Kids,515653,need home loan,0
richardkelly@example.org,425-378-4915x61340,476,36-50,Single,939884,need home loan,0
dyoung@example.org,671-671-8955,337,18-25,Married with Kids,693239,just browsing,0
carterryan@example.com,(680)300-3820,822,51+,Married,406118,job relocation,1
jonathan26@example.net,(858)424-2507,837,26-35,Single,312313,urgent need to buy,1
hartwayne@example.org,6069448606,373,36-50,Single,189116,want to buy soon,1
charlespineda@example.com,(263)608-4516x959,551,36-50,Single,217614,want to buy soon,1
imalone@example.org,(642)756-0154x2820,671,26-35,Married with Kids,944810,just browsing,0
brianna16@example.org,314-678-2372x3851,699,18-25,Married with Kids,756289,job relocation,1
kimberlymatthews@example.net,528.935.6181,830,26-35,Married with Kids,296919,want to buy soon,1
wsmith@example.org,306.491.5482x04128,647,36-50,Single,758105,job relocation,1
cassandrahill@example.com,001-811-426-9029x25676,328,51+,Married,514258,need home loan,0
obender@example.net,829-852-9735x52239,569,18-25,Married,988899,job relocation,1
petersonrandy@example.org,202.912.0652,362,26-35,Single,630256,need home loan,0
vrobinson@example.org,(847)512-1438x781,519,26-35,Married,209038,job relocation,1
sharontaylor@example.org,492-247-6545x9170,730,26-35,Single,164120,urgent need to buy,1
roblesmichael@example.org,5822062293,629,36-50,Single,713375,urgent need to buy,1
charles07@example.net,641.551.6512x73163,792,18-25,Single,636169,want to buy soon,1
jsmith@example.net,336.623.7670,746,26-35,Married,521591,job relocation,1
dickersonrebecca@example.org,(373)359-6759x934,498,36-50,Single,300395,urgent need to buy,1
erika84@example.net,237-404-5294x51503,699,51+,Single,112060,not interested,0
csmith@example.org,3045915230,396,18-25,Single,171631,want to buy soon,1
morgan48@example.net,620.799.1375,584,51+,Married with Kids,952620,not interested,0
kyleball@example.net,+1-860-787-5185x49074,462,36-50,Married with Kids,898749,want to buy soon,1
megan68@example.org,+1-640-929-2358,437,51+,Married,357428,need home loan,0
jasminechavez@example.com,701.698.9056x937,670,26-35,Married with Kids,511238,need home loan,0
ashley05@example.net,782.299.4809x7921,724,51+,Married,294393,urgent need to buy,1
ksmith@example.org,519.951.7331,577,26-35,Married with Kids,502913,want to buy soon,1
hjones@example.com,336-735-4588x66578,372,51+,Single,140332,not interested,0
harrislisa@example.net,+1-902-359-5866x258,345,26-35,Married,554713,urgent need to buy,1
qmartin@example.com,+1-443-293-6678x0590,304,26-35,Married,558349,need home loan,0
anna86@example.com,292.322.9722,492,36-50,Married,723715,need home loan,0
bberry@example.net,7478363741,745,51+,Single,248438,just browsing,0
kevincurry@example.org,469-796-4298,533,26-35,Single,642540,not interested,0
nlynch@example.net,3552294392,838,26-35,Married with Kids,738945,just browsing,0
fshields@example.com,498.889.7882x1931,450,26-35,Married with Kids,605239,not interested,0
zacharysolis@example.com,(623)592-1618x1349,635,51+,Married with Kids,332582,want to buy soon,1
djones@example.net,+1-763-246-6962x055,827,18-25,Married with Kids,682088,urgent need to buy,1
grosswilliam@example.org,690-781-0163x84435,385,26-35,Married,928892,job relocation,1
ryanleonard@example.com,(285)238-8293x428,586,26-35,Married with Kids,325172,need home loan,0
tsmith@example.org,766.768.3980x9596,829,26-35,Married with Kids,252220,job relocation,1
ngilbert@example.org,4835740687,331,26-35,Married,615992,just browsing,0
sara73@example.org,9335984753,723,36-50,Married,329766,not interested,0
kelly01@example.net,+1-355-752-0808x45376,683,26-35,Married,865526,job relocation,1
edavid@example.com,+1-576-508-3594,572,26-35,Married,223622,need home loan,0
benjamin32@example.net,001-887-510-9870x335,434,36-50,Single,824362,need home loan,0
pibarra@example.org,942.437.5664x2116,514,18-25,Single,425767,need home loan,0
carol47@example.org,498.291.1604x0360,507,18-25,Married,760264,need home loan,0
ugardner@example.org,+1-394-964-0687x71103,310,51+,Married,520529,just browsing,0
kimberly85@example.com,(404)749-9910x243,401,26-35,Married,622653,need home loan,0
james11@example.net,+1-561-667-1526x40951,319,18-25,Single,926151,urgent need to buy,1
sadams@example.com,(623)252-3399,679,18-25,Married,366451,urgent need to buy,1
alicia80@example.org,(257)457-3387,787,18-25,Single,707459,not interested,0
prestontodd@example.net,001-340-872-2634,367,36-50,Single,247672,just browsing,0
yclements@example.net,001-780-240-6375x6164,427,36-50,Single,986661,not interested,0
russellelizabeth@example.net,223-529-1280x80586,513,18-25,Single,571052,want to buy soon,1
ulogan@example.com,638-557-0740,361,26-35,Married,614432,need home loan,0
ericray@example.net,001-465-681-4222,746,18-25,Single,342190,need home loan,0
krystalmiller@example.org,5627232228,839,18-25,Married,947465,just browsing,0
dannyjefferson@example.org,(206)460-8268,689,26-35,Single,390747,urgent need to buy,1
wharrington@example.net,649.612.1235,786,36-50,Married,384676,want to buy soon,1
briannamatthews@example.com,534-720-4884,367,51+,Married,269460,need home loan,0
alexisbates@example.net,+1-262-546-2512x38043,485,26-35,Married with Kids,887518,need home loan,0
travisbanks@example.org,2616467730,504,18-25,Single,962696,want to buy soon,1
gwilliams@example.com,(849)530-2937,429,26-35,Married with Kids,507790,need home loan,0
heather41@example.org,+1-418-912-2158,456,26-35,Married with Kids,405787,job relocation,1
morganjerome@example.org,725.866.8995x6994,799,26-35,Single,825661,want to buy soon,1
danielschroeder@example.net,6886683560,738,51+,Single,720502,need home loan,0
curtisaguilar@example.net,710-410-2775,792,18-25,Single,567031,not interested,0
nyang@example.net,844-765-5317x4779,320,36-50,Single,163541,need home loan,0
jamesbrenda@example.org,848-763-9212x81702,634,18-25,Married,669764,urgent need to buy,1
sharonward@example.org,(366)202-6760x164,320,26-35,Married with Kids,360938,just browsing,0
christopherwallace@example.net,(441)473-6876,592,36-50,Married with Kids,617759,not interested,0
macosta@example.net,375-449-7979x5725,587,26-35,Married with Kids,241644,need home loan,0
cainryan@example.net,583-455-0191x52016,638,26-35,Single,436378,just browsing,0
princedaniel@example.org,874.477.2528x7942,805,36-50,Married,429290,want to buy soon,1
valentinemeghan@example.net,001-776-368-6456x3780,749,18-25,Single,316080,want to buy soon,1
mscott@example.org,981-800-2176,506,36-50,Married with Kids,792597,want to buy soon,1
lclark@example.com,+1-490-894-5699,455,36-50,Single,800377,just browsing,0
garyhendrix@example.org,+1-377-207-5311x521,776,36-50,Married with Kids,272675,need home loan,0
rmartin@example.net,(424)317-7917x651,665,36-50,Single,922423,urgent need to buy,1
wilcoxian@example.com,+1-485-701-6152,545,51+,Married with Kids,853263,just browsing,0
ijackson@example.com,925-209-0478,530,51+,Married with Kids,862047,job relocation,1
diazfaith@example.com,2485022688,650,26-35,Single,455714,need home loan,0
olsonmark@example.com,(864)222-5078x217,422,18-25,Married with Kids,944499,not interested,0
prowland@example.net,(430)654-2147x234,762,51+,Married,413041,need home loan,0
rodriguezadam@example.net,(893)810-7646x202,590,51+,Single,282404,urgent need to buy,1
lopezglenn@example.net,4728640848,819,51+,Married with Kids,850823,need home loan,0
hamiltonevan@example.org,308-256-5728,534,18-25,Single,557958,need home loan,0
jeremy17@example.net,+1-624-358-7714x1507,522,36-50,Married with Kids,351658,want to buy soon,1
mcdonaldkristi@example.org,(905)432-9279x77464,840,36-50,Married,297042,not interested,0
michellenguyen@example.net,557-930-5725,596,18-25,Married,132383,job relocation,1
lisafox@example.net,615-598-7392x15943,768,18-25,Married,252754,want to buy soon,1
jamie86@example.com,244-536-6551x348,736,18-25,Married with Kids,792620,need home loan,0
gglover@example.org,001-865-826-0598x6509,845,51+,Married with Kids,415188,job relocation,1
hbowman@example.net,763-854-6662x4269,527,36-50,Single,224172,want to buy soon,1
smithalisha@example.org,001-853-491-0251x8319,495,26-35,Single,147908,not interested,0
jeffreyperez@example.net,325-539-6326x51608,325,51+,Single,177755,want to buy soon,1
jonathanjimenez@example.com,001-392-269-7951x390,461,36-50,Single,530786,urgent need to buy,1
candace37@example.org,957-668-3575,330,18-25,Single,203618,job relocation,1
janetkim@example.org,(998)346-3063,790,36-50,Married,403971,job relocation,1
james30@example.org,718-758-7418,767,36-50,Married,608723,urgent need to buy,1
mary90@example.net,001-850-986-4833x43759,718,18-25,Married with Kids,211793,need home loan,0
tanner45@example.org,605-722-6699x0314,796,26-35,Single,997734,just browsing,0
kristenrichardson@example.com,+1-692-494-0918,644,18-25,Married,774884,not interested,0
stevenstanley@example.com,+1-714-602-4779,443,26-35,Married with Kids,990818,just browsing,0
perkinsscott@example.com,(838)693-6928,400,36-50,Married with Kids,107237,need home loan,0
miranda79@example.net,328.644.5913x089,821,36-50,Single,968886,just browsing,0
shahrobert@example.org,+1-816-848-5009x13710,729,26-35,Married,726462,need home loan,0
shannonjoshua@example.com,811.514.2226x7870,644,36-50,Married with Kids,879805,not interested,0
aguilarricky@example.net,001-649-245-9818,613,26-35,Married with Kids,713533,not interested,0
michael86@example.com,985.335.9476x244,497,51+,Married,918898,job relocation,1
phernandez@example.org,995-421-4585x45128,388,51+,Married,251307,just browsing,0
asexton@example.net,473-442-7407,377,26-35,Single,901413,need home loan,0
cynthiagarcia@example.net,544.428.3648,723,18-25,Single,291842,want to buy soon,1
klineheidi@example.net,+1-598-773-7239,768,51+,Married,282981,need home loan,0
peter70@example.org,+1-584-944-6293x164,367,51+,Single,569306,urgent need to buy,1
laurarodriguez@example.net,7019004972,478,26-35,Married with Kids,935348,job relocation,1
kelliriley@example.org,+1-429-700-3340x43459,615,18-25,Single,539447,job relocation,1
jasonlyons@example.net,+1-350-892-3363x53106,412,36-50,Single,710009,job relocation,1
mary05@example.net,(624)681-0276x81106,650,26-35,Single,425901,just browsing,0
walter11@example.org,001-752-565-2108x181,380,26-35,Single,252538,not interested,0
xsummers@example.com,359-745-8258x33541,556,36-50,Married,236535,need home loan,0
